cognate_id	lect_id	segments
h032	c	q u s a
h032	d	e u s a
h032	e	q u s a
h033	a	k y r i
h033	b	b y r i
h033	c	k y r i
h033	e	k y r i
h034	a	k a m u
h034	b	q a m u
h034	d	q a m u
h034	e	q a m u
h035	a	k i s e
h035	b	k i s e
h035	c	k i s e
h035	d	k i s e
h035	e	k i s e
h036	a	k o s o
h036	b	q o s o
h036	d	q o s o
h037	a	k i p y
h037	b	k i p y
h037	c	k t p y
h037	d	k i p y
h037	e	k i p y
h038	a	k o m l
h038	b	q o m u
h038	d	q o m u
h038	e	q e m u
h039	a	k e t i
h039	c	k e t i
h039	d	k e t i
h040	a	i a m a
h040	b	q i m a
h040	c	q a m a
h040	d	q a m a
h040	e	q a m a
h041	a	k y o e
h041	b	k y t e
h041	d	k y t e
h041	e	k y t e
h042	a	k a b o
h042	c	q a b o
h042	d	q t b o
h042	e	q a b o
h043	a	k y r y
h043	b	k y r y
h043	d	k y r y
h044	a	k o b u
h044	c	q o a u
h045	a	k e n y
h045	b	k e n y
h045	d	k e n y
h046	a	k a b a
h046	b	q a b a
h046	c	q a b a
h046	d	q a b a
h047	a	k u t y
h047	b	a i t y
h047	c	k i t y
h047	d	k i t y
h047	e	k i t y
h048	a	k o p a
h048	b	q o p a
h048	c	s o p a
h048	d	q o p a
h048	e	q o p s
h049	a	k e p i
h049	b	k y b i
h049	c	k e p i
h049	e	k e u i
h050	a	k u b u
h050	c	q u b u
h050	d	m u b u
h051	a	k y t e
h051	c	k y t e
h051	d	k y t e
h051	e	a y t e
h052	a	k o b u
h052	b	q o b o
h052	d	q o b o
h053	a	k y l e
h053	b	k y l e
h053	c	k y l e
h053	d	k y l u
h053	e	k y l e
h054	a	k o r o
h054	b	q o r o
h054	e	q o r o
h055	a	k y b i
h055	b	k y b i
h055	c	k y b i
h055	d	k y b i
h056	a	k a p u
h056	b	i a p u
h056	c	q a p u
h056	d	n a p u
h056	e	q a p u
h057	a	k e r i
h057	b	k e r o
h057	c	k e r i
h057	e	k e r i
h058	a	a u l o
h058	b	q u l o
h058	c	q u l o
h058	e	q u l o
h059	a	k y r e
h059	b	k y e e
h059	c	k y r e
h059	d	k y r e
h060	a	k u p o
h060	b	q u p o
h060	c	q u p o
h060	e	q u p o
h061	a	k y l e
h061	b	k y l e
h061	c	k y l e
h061	d	k y l e
h062	a	k u s o
h062	b	q u s o
h062	c	q u s o
h062	d	q u s o
h062	e	q u s o
h063	a	k i b y
h063	b	k i b y
h063	c	k i b y
h063	d	k i b t
h064	a	k u t u
h064	b	q u t u
h064	c	q u t u
h064	d	q u m u
h064	e	q u t u
h065	a	k y r i
h065	d	k y r i
h065	e	k y r i
h066	a	k u r a
h066	b	q u r a
h066	d	q u r a
h066	e	q u r a
h067	a	k y l y
h067	b	k y l y
h067	c	k y l y
h067	d	k y t y
h067	e	k y s i
h068	a	k o s u
h068	b	q o s n
h068	d	q o s u
h068	e	q o s u
h069	a	k e t y
h069	b	k e t y
h069	c	k e t y
h069	d	k e i y
h070	a	k a l u
h070	b	q a l u
h070	d	r a l u
h070	e	q a l u
h071	a	k y b e
h071	c	k y b e
h071	d	k y y e
h071	e	k y b e
h072	a	k a b u
h072	c	q a b u
h072	d	q a b u
h072	e	q a b n
h073	a	k y l i
h073	c	k y l i
h074	a	k n n o
h074	b	q a n o
h074	c	q a n o
h074	d	q t n o
h074	e	q a n o
h075	a	k y m i
h075	c	k y m i
h075	d	k y m i
h076	a	k u p u
h076	c	q u p u
h076	d	q u p n
h076	e	q u n u
h077	a	k y t e
h077	c	k y t r
h077	d	k y t e
h077	e	k y t e
h078	a	p l s a
h078	b	q a s a
h078	c	q a s p
h078	d	q a s a
h078	e	q a s a
h079	a	k e s y
h079	b	k e s y
h079	c	k e s u
h079	d	k e s y
h079	e	k e s y
h080	a	k u p u
h080	b	q u p u
h080	c	q u p u
h080	d	q u p u
h081	a	k i m e
h081	c	y i m e
h081	e	k i m y
h082	a	k u m u
h082	b	q u m u
h082	c	q u m m
h082	d	q u m u
h083	a	k e n i
h083	c	k e n i
h083	d	k r n i
h084	a	n u n u
h084	b	q u n o
h084	c	q u n u
h084	d	q u n u
h084	e	q u n u
h085	a	k e t e
h085	b	k e t e
h085	c	k e t e
h085	e	k e t e
h086	a	k u r u
h086	b	q u r u
h086	c	q u r u
h086	d	q u r u
h086	e	q u r u
h087	a	k y s e
h087	b	k y s e
h087	c	k y s e
h087	d	k y s b
h087	e	k y s e
h088	a	k o b m
h088	d	q o b u
h088	e	q o b u
h089	a	k i m i
h089	b	k i m i
h089	c	k i m i
h089	d	k i m i
h089	e	k n m i
h090	a	k u r o
h090	b	q u r o
h090	c	q u r o
h090	d	q u r o
h091	a	k e n i
h091	b	k e n i
h091	e	k e n i
h092	a	r o m u
h092	b	b o s u
h092	c	q o m u
h092	d	q o m u
h092	e	q o m u
h093	a	k y m y
h093	b	k y m y
h093	c	k y m y
h093	e	k y m y
h094	a	k u p a
h094	d	q i p a
h094	e	q u p a
h095	a	k e n i
h095	b	k e n i
h095	d	k e n i
h095	e	k e n i
h096	a	k o y u
h096	c	q o n u
h096	d	i o n u
h096	e	p o n u
h097	a	k y r y
h097	b	k y r y
h097	d	k y r y
h098	a	k a r u
h098	c	b n o u
h098	d	q a r u
h098	e	q a r u
h099	a	k i r y
h099	b	k i r y
h099	c	k i r y
h099	d	k i r y
h099	e	k i r y
h100	a	k a n a
h100	b	q b n a
h100	c	q a n a
h100	d	q a n a
h100	e	q a n a
h101	a	k y m s
h101	b	k y m e
h101	c	k y m e
h101	d	k y m e
h101	e	k y m e
h102	a	k o r u
h102	b	q o r u
h102	c	q o r u
h102	d	q o r i
h103	a	k i l y
h103	b	k i l n
h103	c	k i b y
h103	d	k i l y
h103	e	k i l y
h104	a	k o b u
h104	b	q o b u
h104	c	q o b u
h104	d	q o b u
h105	a	k i b i
h105	e	k n b i
h106	a	k a l u
h106	b	q a l u
h106	c	q a l u
h106	d	q a l u
h106	e	q a l u
h107	a	k y l y
h107	b	k y l y
h107	c	k y l y
h107	d	i y l y
h107	e	k y l y
h108	a	k u r u
h108	b	q u r u
h108	c	q u r u
h108	d	q u r u
h108	e	q u r u
h109	a	k y p y
h109	b	k i p y
h109	c	k i p y
h109	d	k i p y
h110	a	k a s o
h110	b	q a s n
h110	d	q a s o
h110	e	q a s o
h111	a	k i r y
h111	b	k i r y
h111	d	k i r y
h112	a	k u t o
h112	b	q u t o
h112	c	q u t o
h112	e	q u t o
h113	a	k i r i
h113	b	k i r i
h113	d	k i r i
h113	e	k i r i
h114	a	k o t o
h114	b	q o t o
h114	c	q o t o
h114	d	q o t o
h115	a	k e p i
h115	b	k e p i
h115	c	k e p i
h115	d	k e p i
h115	e	k e p i
h116	a	k u s o
h116	b	q u s o
h117	a	k y s e
h117	b	k y s e
h117	c	k y s e
h117	d	k y s y
h118	a	k a r u
h118	b	q a r t
h118	c	q a r u
h118	e	q a r u
h119	a	k y l i
h119	b	k y l i
h119	c	k y l i
h119	e	k y l i
h120	a	k u r e
h120	b	q u r a
h120	c	q r r a
h120	d	q u r a
h120	e	q u r a
h121	a	k e n e
h121	b	k e n e
h121	c	k e n e
h121	d	k e n e
h121	e	k e n p
h122	a	k o m a
h122	b	q o m a
h122	c	q o m a
h122	d	q o m a
h123	a	k i b e
h123	b	k i b e
h123	c	k a b e
h123	e	k i b e
h124	a	k b b a
h124	b	q u b a
h124	c	q u b a
h125	a	k i p i
h125	b	k i p i
h125	c	k i p i
h126	a	k u n a
h126	b	q u n a
h126	d	q u n a
h126	e	q u n a
h127	a	k y b i
h127	d	k e b i
h127	e	k e b i
h129	a	k e y e
h129	b	k e b e
h129	c	k n b e
h129	d	k e b e
h129	e	k e b e
h130	a	k u n a
h130	b	q u l a
h130	c	q u n s
h131	a	k e t e
h131	b	k e t e
h131	c	k e t e
h131	d	k e t e
h131	e	k e t e
h132	a	k u n a
h132	b	q u b a
h132	d	q u b a
h132	e	q u b a
h133	a	k i s e
h133	b	k i s u
h133	c	k i s e
h133	d	k i s e
h133	e	k i s e
h134	a	k o l u
h134	b	q o l u
h134	c	q o l u
h134	d	q o l u
h134	e	q o l u
h135	a	k i l e
h135	b	k e l e
h135	c	k i l s
h135	e	k i l e
h136	a	k a b u
h136	b	q e b u
h136	c	q a b u
h136	d	q a b u
h136	e	q a b u
h137	a	k y r y
h137	b	k y r y
h137	d	k y r y
h137	e	k y r y
h139	a	k i t y
h139	c	k i t y
h140	a	k a n u
h140	b	q a n u
h140	c	q a n u
h140	d	q a n u
h141	a	k e m i
h141	b	k e m b
h141	d	k e m i
h142	a	k a s u
h142	b	q a s u
h142	d	q a s u
h142	e	q r s u
h143	a	k i t i
h143	b	k i t i
h143	d	k i t i
h143	e	k i i i
h144	a	k a b u
h144	b	q a p u
h144	d	q a b a
h144	e	q a b u
h145	a	k y m y
h145	d	k y m y
h146	a	k u s o
h146	b	q u s o
h146	e	q u s o
h147	a	k e s i
h147	d	k e s i
h147	e	k e s i
h148	a	k o m o
h148	b	q o m o
h148	c	q o m o
h148	d	q o m o
h148	e	q o m o
h149	a	k y b y
h149	d	k y p y
h150	a	k u r o
h150	b	q u r o
h150	c	q u r o
h150	e	q u r o
h151	a	k y l i
h151	b	k y l i
h151	c	k y l i
h151	d	k y l i
h152	a	k u l u
h152	b	q t l u
h152	c	q u l o
h152	d	q u l u
h152	e	q u l u
h153	a	k e n i
h153	b	k e n i
h153	c	k e n i
h153	d	k e n i
h154	a	k m n u
h154	b	q u s u
h154	c	q u n u
h154	d	q u n u
h154	e	q u n u
h155	a	k e t i
h155	b	k e t i
h155	c	k e t i
h155	d	k a b i
h155	e	s e t i
h156	a	k a b u
h156	b	q a s u
h156	c	q a l u
h156	d	q a l u
h156	e	q a p o
h157	a	k e b i
h157	b	k e b y
h157	c	k e b o
h157	d	k e b i
h157	e	k e b i
h158	a	k u y u
h158	b	q u r u
h158	e	q u r u
h159	a	k y b i
h159	b	k y b i
h159	d	k y b i
